pmm,smm,vmm,exclude,deceased,first_name,nick_name,last_name,organization_name,total_donations,total_pledge,largest_gift,largest_gift_appeal,first_gift_date,last_gift_date,last_gift_amount,last_gift_request,last_gift_appeal,address_line1,address_line2,city,contact_phone_type,phone_restrictions,email_restrictions,communication_restrictions,subscription_events_in_person,subscription_events_magazine,communication_preference,__ml_lable,__ml_total_invitations,__ml_total_attendance,__ml_last_invitation_attendance,__ml_invitation_acceptance_rate,__ml_total_donations,__ml_largest_gift,__ml_last_gift_amount
Peter Smith,John Doe,Chao Nguyen,no,no,Ahmed,,Cohen,Hilarity Holdings,734777,0,439941,Appeal3,1680091052,498825769,188392,1732878289,Appeal3,565 Cedarwood Boulevard,,Courtenay,Mobile,,No Mass Appeals,Do Not Email,Opt-in,Opt-out,,1,1,0,0,0.0,90352,18002,424
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Zainab,Honey,García,,888083,843275,160623,Appeal2,1672275483,1037792829,19305,1725904155,Appeal3,1313 Poplarwood Street,Unit 676,Burnaby,Mobile,No Mass Communications,Do Not Email,Do Not Email,Opt-out,Opt-in,Thank you,0,3,2,0,0.6666666666666666,84873,23019,1015
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Sven,,Lee,,720984,527576,493632,Appeal2,1705282700,1253334035,33134,1718868142,Appeal2,101 Birch Boulevard,Unit 606,Langley,Home,No Surveys,No Surveys,Do Not Email,Opt-out,Opt-out,Newsletter,0,5,4,1,0.8,44014,11964,11347
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Sven,Buddy,González,,133530,726746,133007,Appeal3,1635441663,317047375,1902,1715688855,Appeal3,505 Willow Way,Apt 565,Burnaby,Home,Do Not Call,No Mass Appeals,Do Not Email,Opt-in,Opt-out,Appeal,1,10,7,1,0.7,17499,14528,3449
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Zainab,Sweetie,Öztürk,,328949,437178,132290,Appeal1,1716043527,27800768,72105,1730447080,Appeal1,454 Birchwood Lane,Apt 505,Richmond,Home,,,No Surveys,Opt-out,Opt-in,Research update,1,7,1,0,0.14285714285714285,59748,26560,24033
Peter Smith,Jane Doe,Sven Müller,no,no,Sergei,,Öztürk,,588645,65609,286451,Appeal1,1620911273,830430905,278388,1724947917,Appeal1,456 Oak Avenue,,Nanaimo,Home,No Surveys,,Do Not Email,Opt-out,Opt-in,Thank you,1,5,2,0,0.4,96085,94995,10027
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Carlos,Champ,Hernández,,0,925130,0,Appeal1,0,0,0,1734985208,Appeal3,1010 Redwoodwood Circle,Apt 565,White Rock,Home,No Surveys,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,Magazine,0,13,11,1,0.8461538461538461,18574,6417,2025
Parvati Patel,Bob Brown,Priya Gupta,no,no,Amina,,Hernández,Giggle Goods,315674,842589,298660,Appeal1,1676533695,382283930,40739,1719507897,Appeal3,789 Pine Lane,,Port Coquitlam,Work,No Mass Appeals,No Surveys,,Opt-in,Opt-in,Magazine,0,2,1,1,0.5,7797,1965,251
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Yuki,Buttercup,Lee,,870820,0,725260,Appeal3,1656983038,1449151037,428089,1713612112,Appeal1,777 Laurel Way,,Coquitlam,Mobile,No Mass Communications,,No Surveys,Opt-in,Opt-in,Magazine,0,14,14,0,1.0,53920,7958,7279
Gurtrude Schmidt,Jane Doe,Chao Nguyen,no,no,Olga,Honey,Иванов,,761022,587387,200599,Appeal3,1641562390,116101812,203123,1722549818,Appeal2,1010 Redwoodwood Circle,Unit 111,Nanaimo,Home,No Mass Appeals,No Mass Appeals,No Surveys,Opt-in,Opt-in,Survey,1,11,10,1,0.9090909090909091,38816,27497,1100
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,John,,Gupta,Quirky Quacks,0,614416,0,Appeal1,0,0,0,1734201526,Appeal3,1010 Redwoodwood Circle,Apt 707,Prince George,Mobile,No Mass Communications,,No Mass Appeals,Opt-in,Opt-in,Research update,1,12,11,1,0.9166666666666666,24193,13525,8450
Parvati Patel,Alice Smith,Priya Gupta,no,no,Rajesh,Babe,Öztürk,,702060,144293,587806,Appeal2,1600957962,1211901199,243164,1731876866,Appeal2,232 Oakwood Street,Apt 666,North Vancouver,Home,Do Not Call,,No Mass Appeals,Opt-in,Opt-in,Magazine,1,14,14,1,1.0,90063,25711,18563
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Leila,Buddy,Müller,,351881,530984,336595,Appeal2,1664767747,1634509116,239566,1714470405,Appeal1,1313 Poplarwood Street,Apt 666,New Westminster,Mobile,Do Not Call,No Mass Appeals,,Opt-in,Opt-out,Research update,1,11,10,1,0.9090909090909091,69492,46468,28181
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Amina,,Kumar,,402747,466872,128846,Appeal1,1726880862,362269035,35482,1712967003,Appeal2,1313 Poplarwood Street,Unit 202,Salmon Arm,Work,Do Not Call,No Mass Appeals,,Opt-in,Opt-out,Thank you,1,13,13,1,1.0,67534,29646,28075
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Priya,,Smirnov,,67403,510589,56927,Appeal2,1665370795,394553048,46103,1713866750,Appeal3,1818 Juniperwood Drive,Apt 101,West Vancouver,Mobile,,No Surveys,Do Not Email,Opt-in,Opt-in,Newsletter,1,13,13,1,1.0,91948,49292,9369
Peter Smith,John Doe,Sven Müller,yes,no,Sergei,Doll,Иванов,Gag Gifts Galore,272087,260599,28642,Appeal2,1732928671,1346092211,659,1726646017,Appeal3,808 Cypress Place,Apt 303,Parksville,Work,No Surveys,Do Not Email,No Surveys,Opt-in,Opt-in,Research update,1,3,2,1,0.6666666666666666,37952,3249,2676
Parvati Patel,Bob Brown,Priya Gupta,no,no,Olga,,김,,870698,0,774987,Appeal1,1610223155,193022966,418625,1716546246,Appeal2,606 Aspen Circle,Unit 898,West Vancouver,Work,,No Mass Appeals,No Mass Appeals,Opt-in,Opt-in,Survey,1,13,13,0,1.0,46342,1100,617
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Hiroshi,,Cohen,,181251,761179,107863,Appeal2,1606262334,789277232,100119,1736788747,Appeal3,123 Maple Street,Apt 343,Surrey,Mobile,,No Surveys,No Mass Appeals,Opt-in,Opt-out,Research update,1,9,6,1,0.6666666666666666,14502,10917,2993
Gurtrude Schmidt,Jane Doe,Chao Nguyen,no,no,Sven,,Cohen,,283551,366705,155265,Appeal3,1597058446,1104424548,21383,1728715410,Appeal2,606 Aspen Circle,Unit 454,Parksville,Home,No Mass Appeals,Do Not Email,Do Not Email,Opt-out,Opt-in,Event,0,13,12,1,0.9230769230769231,30169,6864,273
Peter Smith,Jane Doe,Sven Müller,no,no,Leila,Peach,Иванов,,0,0,0,Appeal1,0,0,0,1727581963,Appeal2,1717 Hickorywood Court,Unit 202,Saanich,Mobile,,No Mass Communications,No Mass Communications,Opt-in,Opt-in,Research update,1,3,3,1,1.0,84145,7254,4319
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Fatima,,Jones,,0,895584,0,Appeal2,0,0,0,1722421976,Appeal3,1919 Laurelwood Road,,Richmond,Mobile,,No Mass Communications,No Surveys,Opt-in,Opt-in,Inspiration event,1,14,14,1,1.0,66519,21743,972
Peter Smith,Jane Doe,Chao Nguyen,no,no,Zainab,,Chen,,111789,986546,33898,Appeal3,1599589375,525985028,94743,1714109711,Appeal3,909 Fir Street,,Parksville,Mobile,No Surveys,No Mass Appeals,,Opt-in,Opt-in,Magazine,0,5,2,1,0.4,17574,961,706
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Sergei,,Cohen,,0,542640,0,Appeal2,0,0,0,1727417285,Appeal3,777 Laurel Way,,Salmon Arm,Home,,Do Not Email,No Mass Appeals,Opt-out,Opt-in,Research update,0,5,2,0,0.4,16200,656,322
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Chao,,Jones,Frobozz Magic Co.,0,775871,0,Appeal1,0,0,0,1710052791,Appeal2,454 Birchwood Lane,,Kamloops,Work,No Mass Communications,No Mass Appeals,No Surveys,Opt-in,Opt-out,Inspiration event,1,14,14,1,1.0,64455,18004,2099
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Bob,,Singh,,93181,248400,81088,Appeal3,1637862259,1230397619,25153,1737526259,Appeal1,111 Poplar Avenue,Unit 999,Abbotsford,Home,No Mass Appeals,No Mass Communications,Do Not Email,Opt-out,Opt-in,Research update,1,4,2,1,0.5,85661,11621,9868
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Ingrid,,Williams,,925095,35477,230257,Appeal2,1637367133,1369168588,49488,1714551553,Appeal2,333 Magnolia Boulevard,Unit 777,West Vancouver,Work,Do Not Call,,Do Not Email,Opt-in,Opt-out,Inspiration event,1,13,12,1,0.9230769230769231,40959,12356,8328
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Carlos,Beloved,Kumar,,589575,0,317466,Appeal2,1603091055,204905523,16836,1729818775,Appeal3,1313 Poplarwood Street,,Surrey,Work,No Mass Communications,No Mass Communications,No Mass Appeals,Opt-out,Opt-out,Thank you,1,0,0,0,0.0,98949,80659,8227
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Fatima,,Chen,,970898,686608,139826,Appeal1,1725551158,1066531837,294148,1729188671,Appeal1,898 Willowwood Road,,Vancouver,Mobile,Do Not Call,Do Not Email,Do Not Email,Opt-out,Opt-out,Survey,0,5,5,0,1.0,34323,5326,4074
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Hassan,Sweetheart,Иванов,Jester Jamboree,256103,0,124429,Appeal3,1714179777,871742275,14222,1715992264,Appeal3,1313 Poplarwood Street,,Maple Ridge,Home,,,,Opt-in,Opt-in,Survey,1,15,15,1,1.0,70929,1060,303
Peter Smith,Jane Doe,Sven Müller,yes,no,Sergei,Sweetheart,Smith,,696505,494741,65324,Appeal2,1625007606,366152888,50266,1717820478,Appeal2,898 Willowwood Road,Apt 666,Victoria,Home,Do Not Call,No Surveys,No Surveys,Opt-in,Opt-in,Newsletter,0,10,7,1,0.7,31267,16327,213
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Hassan,,Иванов,,948028,0,547257,Appeal2,1628721543,1279399677,96652,1732356945,Appeal2,898 Willowwood Road,Unit 454,Burnaby,Mobile,Do Not Call,Do Not Email,Do Not Email,Opt-in,Opt-out,Research update,1,8,6,0,0.75,23717,11248,4832
Peter Smith,John Doe,Sven Müller,no,no,Ahmed,Champ,Williams,,65057,55521,51824,Appeal3,1646237784,1674744698,598,1723733684,Appeal1,888 Sequoia Circle,Unit 111,Nanaimo,Work,,No Mass Appeals,,Opt-out,Opt-out,Research update,0,10,8,0,0.8,14083,4364,145
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Rajesh,Honey,佐藤,,743061,62758,454610,Appeal1,1687366321,1705440224,14707,1711521017,Appeal3,121 Maplewood Place,Apt 101,Delta,Home,Do Not Call,No Surveys,No Mass Communications,Opt-out,Opt-in,Holiday Card,1,4,1,1,0.25,3463,2646,2570
Peter Smith,Jane Doe,Sven Müller,yes,no,Carlos,,Lee,,0,422043,0,Appeal2,0,0,0,1735679201,Appeal1,909 Fir Street,,Nanaimo,Work,,No Mass Communications,No Mass Communications,Opt-in,Opt-out,Magazine,0,3,2,1,0.6666666666666666,85519,78524,14200
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Juan,,Smirnov,,0,398983,0,Appeal2,0,0,0,1717330491,Appeal1,404 Spruce Road,,Courtenay,Mobile,No Mass Appeals,,,Opt-out,Opt-in,Event,1,11,8,1,0.7272727272727273,9916,7340,4933
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Priya,Doll,Öztürk,,567891,953735,177483,Appeal2,1668282880,1157622394,51951,1732847650,Appeal2,606 Aspen Circle,,Maple Ridge,Home,,No Surveys,No Surveys,Opt-in,Opt-in,Appeal,0,8,5,0,0.625,22522,14389,380
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Hassan,,Lee,,0,836719,0,Appeal3,0,0,0,1736682208,Appeal3,1111 Cypresswood Terrace,,Coquitlam,Home,,,,Opt-out,Opt-in,Magazine,1,11,9,1,0.8181818181818182,6264,5076,818
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Carlos,Sweetie,김,,796615,16388,663094,Appeal1,1649668589,1436130348,456821,1732969536,Appeal1,456 Oak Avenue,Apt 909,Richmond,Work,No Mass Appeals,No Mass Appeals,No Mass Appeals,Opt-out,Opt-out,,0,11,9,0,0.8181818181818182,82276,81410,49749
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Rajesh,,Cohen,Snicker Supplies,321117,258804,205111,Appeal3,1659341150,1277601739,144364,1736642185,Appeal1,232 Oakwood Street,,Port Coquitlam,Work,No Mass Communications,,Do Not Email,Opt-in,Opt-out,,1,13,13,1,1.0,86224,30887,11438
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Amina,Babe,Nakamura,,0,849555,0,Appeal1,0,0,0,1727128889,Appeal2,454 Birchwood Lane,Apt 343,Richmond,Mobile,No Mass Communications,No Mass Appeals,No Mass Appeals,Opt-in,Opt-in,Inspiration event,1,14,14,0,1.0,9307,951,470
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Olga,,Cohen,,0,0,0,Appeal1,0,0,0,1716173083,Appeal2,909 Aspenwood Way,Apt 565,Williams Lake,Mobile,No Surveys,No Surveys,Do Not Email,Opt-out,Opt-in,Thank you,0,8,6,1,0.75,30718,13822,9756
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Maria,,Smith,,0,583022,0,Appeal3,0,0,0,1722144126,Appeal2,1111 Cypresswood Terrace,Unit 898,Salmon Arm,Mobile,No Mass Communications,No Mass Communications,Do Not Email,Opt-in,Opt-in,Survey,1,13,12,1,0.9230769230769231,32532,7783,3464
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Juan,Dear,González,,0,541997,0,Appeal3,0,0,0,1725205527,Appeal1,1111 Cypresswood Terrace,,Vernon,Work,,No Mass Appeals,Do Not Email,Opt-in,Opt-in,Appeal,1,4,2,0,0.5,33387,22288,16462
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Rajesh,,Lee,Nonsense Enterprises,461856,0,272892,Appeal1,1711215824,1522876512,123848,1719809311,Appeal1,777 Laurel Way,Apt 343,North Vancouver,Home,No Mass Communications,No Surveys,No Mass Appeals,Opt-in,Opt-in,Appeal,1,3,2,1,0.6666666666666666,77450,70699,29505
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Sven,Dear,Singh,,0,0,0,Appeal2,0,0,0,1710871768,Appeal1,666 Juniper Road,,West Vancouver,Work,No Mass Communications,No Mass Communications,No Mass Appeals,Opt-out,Opt-out,Survey,0,8,6,0,0.75,72329,56829,53076
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Bob,Pumpkin,Ahmed,Nonsense Enterprises,0,0,0,Appeal3,0,0,0,1719016370,Appeal2,456 Oak Avenue,Apt 909,West Vancouver,Home,No Mass Appeals,,No Mass Communications,Opt-in,Opt-in,Magazine,1,10,4,1,0.4,12012,3799,3540
Parvati Patel,Bob Brown,Priya Gupta,no,no,Ingrid,,Silva,,0,763434,0,Appeal3,0,0,0,1713228469,Appeal3,808 Cypress Place,,North Vancouver,Home,,,Do Not Email,Opt-in,Opt-out,Inspiration event,1,13,12,1,0.9230769230769231,97565,12848,5104
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Dimitri,Dear,García,,345772,428289,26284,Appeal2,1725960491,461777208,139441,1722045105,Appeal3,505 Willow Way,Unit 232,Vancouver,Home,No Surveys,No Mass Appeals,No Mass Communications,Opt-out,Opt-in,Survey,1,0,0,0,0.0,83546,73825,11742
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Jane,Precious,Müller,Jester Jamboree,689460,561987,475615,Appeal2,1647185034,1546240153,170908,1729030856,Appeal1,1414 Sycamorewood Avenue,Unit 777,Delta,Home,No Surveys,,,Opt-out,Opt-in,Survey,1,10,10,0,1.0,73164,69572,60091
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Carlos,Peach,Silva,,741203,0,80719,Appeal3,1608613298,1046003597,115346,1723606752,Appeal2,999 Alder Terrace,Unit 232,Surrey,Mobile,No Mass Communications,No Mass Communications,,Opt-out,Opt-out,Holiday Card,0,5,3,1,0.6,87948,16703,862
Parvati Patel,Alice Smith,Priya Gupta,no,no,Jane,,Williams,,0,284244,0,Appeal1,0,0,0,1711973838,Appeal1,202 Cedar Court,,North Vancouver,Work,No Surveys,No Mass Appeals,No Surveys,Opt-in,Opt-out,Appeal,1,10,9,0,0.9,76143,67852,44293
Gurtrude Schmidt,Jane Doe,Chao Nguyen,no,no,Juan,Beloved,Kim,Silly Solutions,0,898106,0,Appeal1,0,0,0,1711461748,Appeal2,1515 Magnoliawood Lane,Apt 343,Parksville,Work,No Mass Communications,No Mass Appeals,No Mass Communications,Opt-in,Opt-out,Holiday Card,1,13,11,1,0.8461538461538461,9309,9268,6440
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Rajesh,,Kim,,0,0,0,Appeal3,0,0,0,1734193737,Appeal3,444 Dogwood Court,,North Vancouver,Work,No Mass Appeals,Do Not Email,Do Not Email,Opt-in,Opt-out,Survey,1,10,2,0,0.2,68413,61522,36558
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Sven,Beloved,Smith,,0,481313,0,Appeal2,0,0,0,1716221281,Appeal1,1717 Hickorywood Court,Unit 898,Richmond,Mobile,No Mass Communications,No Mass Communications,No Mass Communications,Opt-out,Opt-in,Appeal,0,3,1,1,0.3333333333333333,24807,20766,6506
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Carlos,,Öztürk,,0,0,0,Appeal1,0,0,0,1739277985,Appeal2,898 Willowwood Road,Unit 333,Langley,Mobile,No Mass Communications,Do Not Email,Do Not Email,Opt-out,Opt-out,Holiday Card,1,8,6,1,0.75,50876,38815,36084
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Olga,,Smith,Laughing Labs,0,918819,0,Appeal1,0,0,0,1729738226,Appeal2,101 Birch Boulevard,Apt 565,Burnaby,Mobile,No Mass Communications,No Surveys,Do Not Email,Opt-out,Opt-out,Holiday Card,0,3,1,1,0.3333333333333333,61924,44235,6273
Parvati Patel,Alice Smith,Priya Gupta,no,no,Olga,,Nakamura,,0,794364,0,Appeal2,0,0,0,1725341748,Appeal2,787 Sprucewood Drive,Apt 909,Richmond,Mobile,,Do Not Email,,Opt-in,Opt-in,Thank you,1,8,5,0,0.625,41955,37270,29491
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Priya,Precious,Lee,,0,673615,0,Appeal1,0,0,0,1715662035,Appeal2,555 Hickory Drive,Unit 999,Delta,Work,No Surveys,No Surveys,No Mass Appeals,Opt-in,Opt-in,Appeal,1,2,0,0,0.0,85781,66131,44735
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Yuki,Sweetheart,Cohen,Whimsy Works,0,859302,0,Appeal1,0,0,0,1716058946,Appeal2,1818 Juniperwood Drive,,Langley,Home,Do Not Call,No Mass Appeals,Do Not Email,Opt-in,Opt-in,Event,0,0,0,0,0.0,22990,2361,1906
Peter Smith,Jane Doe,Chao Nguyen,no,no,Jane,Sunshine,Lee,,611353,855764,384527,Appeal2,1614264203,709161171,113718,1710467608,Appeal3,1212 Firwood Place,,Parksville,Work,No Mass Communications,No Mass Communications,No Surveys,Opt-out,Opt-in,Inspiration event,1,6,3,1,0.5,32114,9974,5360
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Amina,Cutie,王,,0,161966,0,Appeal2,0,0,0,1718485417,Appeal1,999 Alder Terrace,Unit 808,Burnaby,Work,No Mass Communications,Do Not Email,Do Not Email,Opt-in,Opt-out,Research update,1,3,3,1,1.0,36803,17909,562
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Alice,,Smith,,370891,727024,301402,Appeal2,1658816290,706489584,313046,1722195403,Appeal2,606 Aspen Circle,Apt 888,Richmond,Mobile,No Mass Communications,No Surveys,,Opt-in,Opt-out,Newsletter,1,15,15,1,1.0,57707,33222,16207
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Bob,,Müller,,0,528719,0,Appeal2,0,0,0,1719532910,Appeal2,444 Dogwood Court,,New Westminster,Mobile,,No Mass Appeals,No Surveys,Opt-in,Opt-in,Research update,1,6,5,0,0.8333333333333334,64045,30814,14777
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Olga,,Lee,,0,567897,0,Appeal1,0,0,0,1727031053,Appeal3,303 Elm Drive,Apt 121,Burnaby,Work,Do Not Call,No Mass Communications,No Mass Appeals,Opt-in,Opt-out,Thank you,0,8,7,0,0.875,23632,3162,874
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Dimitri,,Ivanov,Acme Anvils Inc.,0,0,0,Appeal3,0,0,0,1715677691,Appeal2,555 Hickory Drive,Unit 898,Burnaby,Home,Do Not Call,,,Opt-out,Opt-out,Event,1,16,16,1,1.0,60511,46473,1204
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Ahmed,Sweetheart,Lee,,569649,227290,246468,Appeal2,1708054949,614599110,11048,1715179342,Appeal2,565 Cedarwood Boulevard,Apt 101,Prince George,Work,,No Surveys,Do Not Email,Opt-in,Opt-out,Holiday Card,1,11,10,0,0.9090909090909091,76350,38105,1344
Peter Smith,John Doe,Chao Nguyen,yes,no,Ahmed,,Cohen,,0,0,0,Appeal1,0,0,0,1734972295,Appeal1,1717 Hickorywood Court,Unit 111,Courtenay,Mobile,Do Not Call,No Mass Appeals,Do Not Email,Opt-in,Opt-out,Magazine,0,13,13,1,1.0,4756,2326,2221
Peter Smith,John Doe,Chao Nguyen,yes,no,Priya,,Gupta,,323737,72466,95642,Appeal2,1723739466,104198925,63862,1719144860,Appeal3,1616 Dogwoodwood Boulevard,Apt 222,Saanich,Home,,No Mass Communications,No Mass Communications,Opt-out,Opt-in,,1,11,9,0,0.8181818181818182,29984,5177,5127
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Fatima,Buddy,佐藤,,0,575756,0,Appeal1,0,0,0,1714058445,Appeal2,456 Oak Avenue,Unit 808,Burnaby,Work,No Mass Communications,,,Opt-in,Opt-out,Inspiration event,1,13,11,1,0.8461538461538461,90824,15670,2874
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,John,,Kumar,,0,266025,0,Appeal2,0,0,0,1718721631,Appeal2,789 Pine Lane,Apt 444,Vancouver,Home,No Surveys,,,Opt-in,Opt-out,Inspiration event,0,6,2,1,0.3333333333333333,68396,50107,14866
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Bob,Snookums,Öztürk,,0,156632,0,Appeal3,0,0,0,1733748974,Appeal1,303 Elm Drive,Apt 666,Victoria,Mobile,No Surveys,Do Not Email,Do Not Email,Opt-out,Opt-out,,1,15,15,1,1.0,6076,1732,1419
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Mei,,Kumar,Whatchamacallit Corp.,421587,30244,44555,Appeal2,1732971292,1155187727,24186,1721697317,Appeal2,111 Poplar Avenue,,Parksville,Work,No Mass Communications,No Mass Communications,No Mass Communications,Opt-in,Opt-in,Appeal,1,4,2,0,0.5,84610,19441,13572
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Sven,,Hernández,Wacky Widgets,0,0,0,Appeal2,0,0,0,1732193154,Appeal1,777 Laurel Way,Unit 777,North Vancouver,Home,No Mass Communications,,,Opt-in,Opt-in,Holiday Card,0,5,3,0,0.6,3121,195,12
Gurtrude Schmidt,Jane Doe,Chao Nguyen,no,no,Priya,Angel,Nakamura,Hilarity Holdings,208223,0,62146,Appeal3,1712600416,625632665,131891,1735076912,Appeal1,606 Aspen Circle,,Campbell River,Home,No Mass Communications,,No Mass Communications,Opt-out,Opt-in,Research update,0,16,16,1,1.0,8722,4899,3741
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Ahmed,,김,,414008,570505,369829,Appeal2,1683963781,1553571284,191474,1735759716,Appeal1,808 Cypress Place,Unit 606,Langley,Work,,No Surveys,No Mass Appeals,Opt-out,Opt-in,Newsletter,1,6,5,1,0.8333333333333334,63365,30159,6899
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Jane,,Singh,,0,272438,0,Appeal3,0,0,0,1726963762,Appeal2,1010 Redwoodwood Circle,Unit 606,Richmond,Mobile,No Surveys,No Mass Appeals,No Surveys,Opt-in,Opt-in,Appeal,1,14,14,1,1.0,75476,381,271
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Sven,,Gupta,,0,607010,0,Appeal3,0,0,0,1732480433,Appeal2,444 Dogwood Court,Unit 202,Kelowna,Home,No Mass Communications,Do Not Email,No Mass Communications,Opt-in,Opt-out,Survey,1,16,16,0,1.0,81066,50117,27631
Gurtrude Schmidt,John Doe,Chao Nguyen,no,no,John,,Brown,,0,179277,0,Appeal3,0,0,0,1735349045,Appeal2,1919 Laurelwood Road,Apt 121,Campbell River,Work,No Surveys,No Mass Communications,No Surveys,Opt-in,Opt-in,Research update,0,4,3,1,0.75,61848,4800,1633
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Chao,,García,Hilarity Holdings,0,180135,0,Appeal1,0,0,0,1733373111,Appeal1,1111 Cypresswood Terrace,,West Vancouver,Mobile,No Mass Communications,No Mass Appeals,No Mass Communications,Opt-in,Opt-out,Research update,1,5,4,1,0.8,62719,37706,29120
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Sergei,Dear,佐藤,,0,0,0,Appeal2,0,0,0,1731507152,Appeal3,1919 Laurelwood Road,Apt 505,Langley,Work,,Do Not Email,,Opt-out,Opt-out,Appeal,0,8,5,0,0.625,4562,606,422
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Peter,,Silva,,442919,934702,115817,Appeal3,1718195691,392239371,192957,1731401817,Appeal2,777 Laurel Way,Apt 101,West Vancouver,Mobile,Do Not Call,No Mass Communications,No Mass Communications,Opt-in,Opt-in,Survey,1,14,14,1,1.0,6184,3901,2116
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Fatima,,Chen,Nonsense Enterprises,0,318970,0,Appeal2,0,0,0,1738646124,Appeal2,909 Fir Street,Unit 999,Courtenay,Work,No Mass Appeals,Do Not Email,No Mass Appeals,Opt-out,Opt-out,Holiday Card,1,6,5,1,0.8333333333333334,79317,51279,47743
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,John,,Ahmed,,0,883485,0,Appeal2,0,0,0,1726246069,Appeal3,232 Oakwood Street,Apt 343,West Vancouver,Home,No Mass Communications,No Mass Communications,No Surveys,Opt-out,Opt-in,Event,1,15,15,1,1.0,37405,9332,3928
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Carlos,,Singh,Silly Solutions,0,154148,0,Appeal1,0,0,0,1738008459,Appeal3,343 Pinewood Avenue,Apt 787,White Rock,Mobile,,No Mass Appeals,,Opt-in,Opt-in,,1,14,14,1,1.0,41400,32477,5548
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Chao,,Brown,,714821,0,385284,Appeal3,1723854313,1201659426,187640,1739104708,Appeal1,404 Spruce Road,Unit 232,Maple Ridge,Mobile,No Mass Communications,No Mass Communications,No Mass Communications,Opt-in,Opt-out,Inspiration event,1,16,16,1,1.0,16262,3717,131
